Detector Type, Descriptor Type, averageKeypointsDetectors, averageKeypointsDescriptors, averageMatches, averageDetectorsDetectionTime (ms), averageTotalDetectionTime (ms)
FAST,BRISK,3553,3553,3250,3.253614,40.050148
FAST,FREAK,3553,3553,3134,2.753307,123.056801
FAST,BRIEF,3553,3553,3090,2.778648,21.654657
FAST,ORB,3553,3553,3055,2.813465,14.397975
BRISK,BRISK,5668,5668,5354,96.947403,155.084396
BRISK,FREAK,5668,5668,4416,97.296494,225.444168
BRISK,BRIEF,5668,5668,5292,97.440109,124.550034
BRISK,ORB,5668,5668,5256,96.864624,119.527184
ORB,BRISK,950,950,723,22.468946,31.947468
ORB,FREAK,950,950,322,22.366028,128.525360
ORB,BRIEF,950,950,900,22.127716,27.376827
ORB,ORB,950,950,900,23.242743,37.747231
AKAZE,BRISK,2937,2937,2780,205.033539,228.311249
AKAZE,FREAK,2937,2937,2780,184.717712,292.548584
AKAZE,BRIEF,2937,2937,2780,180.777466,192.067657
AKAZE,ORB,2937,2937,2771,180.093536,194.533966
SIFT,BRISK,3757,3757,3367,300.629700,323.155487
SIFT,FREAK,3757,3757,3171,299.908844,405.717102
SIFT,BRIEF,3757,3757,3151,309.039429,312.092560
SIFT,ORB,189,0,0,15.720738,0.000000
HARRIS,BRISK,1710,1710,1504,480.066315,474.519958
HARRIS,FREAK,1710,1710,1361,498.419250,586.075439
HARRIS,BRIEF,1710,1710,1515,482.549255,468.259277
HARRIS,ORB,1710,1710,1498,484.572174,475.765137
